ieta = 0, ix = 122, iy = 196, energy density = 0.169934 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.372123
ieta = 0, ix = 122, iy = 197, energy density = 0.840163 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.125033
ieta = 0, ix = 122, iy = 197, energy density = 0.0989988 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.113211
ieta = 0, ix = 122, iy = 197, energy density = 0.0989988 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.178068
ieta = 0, ix = 117, iy = 195, energy density = 3.82973 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.182415
ieta = 0, ix = 123, iy = 197, energy density = 0.819815 GeV/fm^3, shear |pi/(epsilon+3*P)| = 21.7497
ieta = 0, ix = 119, iy = 196, energy density = 0.267194 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.33619
ieta = 0, ix = 123, iy = 197, energy density = 0.606815 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.118304
ieta = 0, ix = 124, iy = 198, energy density = 1.2037 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.134387
ieta = 0, ix = 124, iy = 198, energy density = 1.2037 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.101488
ieta = 0, ix = 124, iy = 198, energy density = 1.32353 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.103916
ieta = 0, ix = 122, iy = 197, energy density = 0.398795 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.319901
ieta = 0, ix = 124, iy = 198, energy density = 1.5487 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.111632
ieta = 0, ix = 119, iy = 194, energy density = 0.150926 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.299853
ieta = 0, ix = 123, iy = 198, energy density = 0.534414 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.107196
ieta = 0, ix = 119, iy = 194, energy density = 0.105765 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.274696
ieta = 0, ix = 124, iy = 199, energy density = 0.318346 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.126693
ieta = 0, ix = 116, iy = 196, energy density = 0.339263 GeV/fm^3, shear |pi/(epsilon+3*P)| = 0.12129
